Seed,Degree,Nodes,Distribution,Graph_Name,RQAOA_0_2pi_N2000,Gurobi_Exact,Approx_Ratio,RQAOA_ANG,RQAOA_zs
8629962609014092371,5,30,gaussian,5d_30n_gaussiandist_8629962609014092371seed_22,82.75268076,88.32408139,0.9369209332,"[0.23561945 0.39572214 0.23247786 0.39104524 0.23247786 0.39120433
 0.23247786 0.39018048 0.24818582 0.39657192 0.23561945 0.38935975
 0.25132741 0.39153888 0.24818582 0.38981671 0.24818582 0.38986886
 0.25132741 0.39389153 0.254469   0.39541475 0.2576106  0.39398014
 0.24504423 0.38760592 0.24818582 0.39033328 0.254469   0.38793793
 0.26389378 0.38968677 0.26703538 0.3779266  0.25132741 0.37660277
 0.24504423 0.36320317 0.23876104 0.34055954 0.254469   0.34777528
 0.31415927 0.37604221]","[-1 -1 -1 -1  1 -1  1  1 -1  1  1 -1  1  1 -1  1 -1 -1 -1 -1  1 -1 -1  1
  1 -1  1 -1  1 -1]"
2373602047824278441,6,25,gaussian,6d_25n_gaussiandist_2373602047824278441seed_7,74.56012855,78.52805747,0.9494711947,"[0.21991149 0.39443473 0.21676989 0.39188696 0.21991149 0.38848635
 0.23561945 0.3930582  0.23561945 0.39374733 0.23876104 0.38889478
 0.23876104 0.38735718 0.23876104 0.38650463 0.23876104 0.38960992
 0.23876104 0.38638946 0.22305308 0.37406166 0.24818582 0.38057855
 0.23876104 0.37826896 0.23247786 0.37194272 0.22933626 0.37129565
 0.22933626 0.37256308 0.22933626 0.37305685]","[-1 -1 -1  1 -1  1 -1 -1  1  1  1  1 -1  1 -1  1 -1 -1 -1 -1  1 -1  1  1
 -1]"
1126081909295565354,6,26,gaussian,6d_26n_gaussiandist_1126081909295565354seed_5,73.80148354,79.49962603,0.9283249146,"[0.21676989 0.39335589 0.22305308 0.39023768 0.22305308 0.39378699
 0.22305308 0.39429697 0.22619467 0.3939064  0.21676989 0.3886602
 0.21676989 0.39044437 0.2136283  0.38842881 0.21676989 0.39113239
 0.2136283  0.38909988 0.22305308 0.39173474 0.21676989 0.38979423
 0.21048671 0.38897784 0.20106193 0.38519944 0.2136283  0.36816303
 0.21676989 0.35023667 0.19792034 0.33963602 0.31415927 0.36332904]","[-1  1 -1  1 -1 -1  1  1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1 -1
 -1  1]"
4638311899570867066,7,14,gaussian,7d_14n_gaussiandist_4638311899570867066seed_21,40.20077919,42.51542453,0.9455575156,"[0.20420352 0.39177774 0.20734512 0.3979844  0.18849556 0.39036786
 0.20106193 0.40600316 0.16650441 0.36631581 0.15393804 0.34779496]",[-1  1 -1 -1 -1  1  1 -1  1 -1  1  1 -1 -1]
5190952847042786017,7,16,gaussian,7d_16n_gaussiandist_5190952847042786017seed_16,43.58039433,47.63005159,0.914976845,"[0.20106193 0.39555513 0.18849556 0.37579216 0.17907078 0.37259521
 0.1727876  0.36813199 0.19163715 0.38962125 0.17907078 0.36518101
 0.21048671 0.34873249 0.21676989 0.35653477]",[-1 -1  1  1  1 -1  1 -1 -1  1 -1 -1  1  1  1 -1]
3984846803518855627,7,16,gaussian,7d_16n_gaussiandist_3984846803518855627seed_21,44.49847953,48.67446672,0.9142057947,"[0.20734512 0.41043687 0.20106193 0.40262984 0.20734512 0.39674455
 0.20106193 0.39368733 0.19792034 0.37771565 0.19792034 0.37051771
 0.17907078 0.33383154 0.16022123 0.30813368]",[-1  1 -1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1 -1]
619532954381144437,7,20,gaussian,7d_20n_gaussiandist_619532954381144437seed_19,58.67069237,63.36141059,0.9259688479,"[0.21676989 0.39000247 0.21676989 0.38603484 0.2136283  0.38417098
 0.21676989 0.38421356 0.2136283  0.38483587 0.21048671 0.3821801
 0.20734512 0.37724067 0.19792034 0.36895201 0.20420352 0.35471598
 0.19792034 0.34966294 0.20734512 0.34421828 0.21676989 0.35274883]",[-1 -1 -1 -1  1 -1 -1  1 -1 -1  1 -1  1  1 -1  1 -1 -1 -1  1]
7175258013925733298,7,20,gaussian,7d_20n_gaussiandist_7175258013925733298seed_24,59.7150045,63.19724298,0.9448988861,"[0.2136283  0.38963586 0.2136283  0.39297258 0.21048671 0.38338069
 0.21048671 0.3794206  0.20734512 0.37653023 0.20420352 0.37309087
 0.23561945 0.37967695 0.22933626 0.3744942  0.24190263 0.36836186
 0.22305308 0.35954386 0.24190263 0.37472719 0.21991149 0.35288131]",[-1  1 -1  1 -1  1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1  1 -1 -1]
1740951551245432308,7,24,gaussian,7d_24n_gaussiandist_1740951551245432308seed_12,72.44663775,77.10477174,0.9395869557,"[0.19477874 0.39289354 0.20106193 0.39330664 0.20420352 0.39505815
 0.19477874 0.38759088 0.20734512 0.39088092 0.19792034 0.38582508
 0.20734512 0.38104334 0.20734512 0.36979598 0.20734512 0.37652063
 0.20734512 0.38668975 0.18849556 0.37463711 0.20420352 0.36676649
 0.24190263 0.37094473 0.21676989 0.33498398 0.27017697 0.3308778
 0.27646015 0.32655543]",[-1 -1 -1  1  1  1  1 -1 -1 -1 -1  1 -1  1  1  1 -1  1  1 -1  1 -1 -1  1]
3364823185911219558,7,26,gaussian,7d_26n_gaussiandist_3364823185911219558seed_0,77.81460931,83.98703995,0.926507344,"[0.21048671 0.39940022 0.2136283  0.39897387 0.21048671 0.39657244
 0.21048671 0.39337496 0.21048671 0.39142036 0.21048671 0.38786756
 0.20734512 0.38848127 0.20420352 0.38704692 0.20420352 0.38821268
 0.20106193 0.37521453 0.19163715 0.36708884 0.20420352 0.36092024
 0.19792034 0.34632439 0.18849556 0.33704385 0.17907078 0.34010094
 0.18221237 0.35008762 0.19163715 0.33612552 0.19792034 0.3273413 ]","[-1  1  1  1  1 -1  1 -1  1  1  1 -1  1 -1  1 -1  1 -1 -1  1  1 -1  1  1
  1  1]"
7826658319304779113,7,26,gaussian,7d_26n_gaussiandist_7826658319304779113seed_21,74.98911885,83.09716937,0.9024268747,"[0.20106193 0.39305722 0.20420352 0.38935088 0.20106193 0.38958399
 0.20420352 0.38363498 0.19477874 0.37821257 0.19792034 0.36599577
 0.20106193 0.36600497 0.20106193 0.37225269 0.19163715 0.36407541
 0.19163715 0.36914359 0.19163715 0.37467356 0.18535397 0.37261012
 0.169646   0.35040034 0.2136283  0.35920377 0.21676989 0.35779951
 0.21991149 0.3633543  0.2136283  0.3574119  0.19792034 0.33788688]","[-1  1  1 -1 -1  1  1  1 -1 -1  1  1 -1  1 -1  1  1 -1  1  1  1 -1  1 -1
 -1  1]"
568851980155292724,7,30,gaussian,7d_30n_gaussiandist_568851980155292724seed_6,87.29703378,92.23514813,0.9464616857,"[0.20420352 0.38995059 0.20420352 0.38590212 0.21048671 0.38500066
 0.21048671 0.38516536 0.21048671 0.38553767 0.2136283  0.38719587
 0.2136283  0.38754774 0.20106193 0.38390242 0.2136283  0.37957007
 0.20420352 0.37279619 0.20106193 0.37225004 0.19477874 0.36889967
 0.18849556 0.36327469 0.19163715 0.35827742 0.19792034 0.36257879
 0.18849556 0.34831672 0.18849556 0.34743821 0.14137167 0.30540098
 0.13508848 0.30704171 0.27646015 0.40424275 0.22933626 0.37124649
 0.2984513  0.38243367]","[-1 -1  1 -1  1 -1 -1  1 -1  1  1  1  1  1 -1  1 -1 -1  1  1  1 -1  1 -1
 -1 -1 -1 -1 -1 -1]"
9218213151713655812,7,30,gaussian,7d_30n_gaussiandist_9218213151713655812seed_10,93.24007852,98.19348766,0.9495546064,"[0.20734512 0.38149672 0.2136283  0.381763   0.2136283  0.38073001
 0.2136283  0.37579958 0.21676989 0.37254859 0.21991149 0.37498413
 0.21991149 0.3750567  0.21991149 0.36951447 0.21991149 0.37435551
 0.2136283  0.370611   0.21048671 0.37234653 0.21048671 0.3780214
 0.20420352 0.37299903 0.20106193 0.37258902 0.20420352 0.38668635
 0.21676989 0.37971746 0.20420352 0.37024625 0.24504423 0.39057684
 0.23876104 0.38911309 0.22619467 0.40019744 0.23561945 0.38043215
 0.23561945 0.38484281]","[-1 -1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1  1  1  1  1 -1 -1  1 -1 -1  1
 -1 -1  1  1  1  1]"
4023493618640011478,8,14,gaussian,8d_14n_gaussiandist_4023493618640011478seed_3,46.71623846,49.4860807,0.9440278519,"[0.18849556 0.36576912 0.18849556 0.35825093 0.19163715 0.37005265
 0.169646   0.3605754  0.18849556 0.361002   0.1727876  0.35624089]",[-1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1 -1]
5956141695417420881,8,14,gaussian,8d_14n_gaussiandist_5956141695417420881seed_22,47.58365025,53.0337992,0.8972325379,"[0.20106193 0.40157515 0.20106193 0.3998163  0.21048671 0.39436011
 0.20734512 0.38471869 0.20106193 0.39246961 0.18849556 0.3718652 ]",[-1 -1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1]
8489308228237433231,8,16,gaussian,8d_16n_gaussiandist_8489308228237433231seed_8,52.00393833,55.63996812,0.9346507572,"[0.19792034 0.37339783 0.18849556 0.36480989 0.19477874 0.36364871
 0.19477874 0.36121514 0.23247786 0.3758388  0.23247786 0.37645153
 0.22933626 0.3734847  0.23561945 0.38367394]",[-1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1]
2264096140220915647,8,19,gaussian,8d_19n_gaussiandist_2264096140220915647seed_0,60.84842725,67.39821258,0.9028195989,"[0.19163715 0.39380298 0.19163715 0.39276149 0.18849556 0.39465905
 0.18849556 0.40221866 0.18849556 0.39585888 0.18849556 0.38221676
 0.18221237 0.37442161 0.17592919 0.36922237 0.16650441 0.35951962
 0.15707963 0.3326893  0.19477874 0.3370712 ]",[-1 -1 -1  1 -1  1  1 -1  1  1  1 -1  1  1 -1 -1 -1  1  1]
8872600570093397638,8,20,gaussian,8d_20n_gaussiandist_8872600570093397638seed_4,66.44303055,70.02414705,0.9488588344,"[0.19163715 0.38292709 0.19477874 0.37830365 0.18535397 0.36810618
 0.18535397 0.37143982 0.18221237 0.36986659 0.19477874 0.38232397
 0.19792034 0.38859295 0.19163715 0.38071273 0.19163715 0.38692353
 0.18221237 0.3850072  0.169646   0.375464   0.17592919 0.37076028]",[-1  1 -1  1  1 -1 -1  1  1 -1 -1 -1  1  1 -1  1  1 -1  1 -1]
4451124010458323935,8,20,gaussian,8d_20n_gaussiandist_4451124010458323935seed_9,58.93356588,62.33409882,0.9454466655,"[0.18849556 0.38272785 0.18535397 0.37614359 0.17907078 0.36884967
 0.17907078 0.36739623 0.18849556 0.36076829 0.18849556 0.35645646
 0.18221237 0.35121737 0.17592919 0.33352696 0.17907078 0.33153231
 0.17592919 0.32496823 0.17592919 0.32228444 0.17592919 0.32358349]",[-1  1  1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1 -1  1]
4092542881071716,8,20,gaussian,8d_20n_gaussiandist_4092542881071716seed_12,67.47541869,74.6078212,0.90440141,"[0.19163715 0.39173965 0.18849556 0.38678996 0.19163715 0.38470969
 0.18535397 0.37732375 0.18221237 0.37949878 0.169646   0.37497099
 0.16022123 0.36398392 0.18535397 0.3563625  0.169646   0.34120368
 0.17592919 0.34029933 0.16650441 0.32669571 0.19163715 0.31520491]",[-1  1  1  1  1 -1 -1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1  1]
2038960906759151272,8,21,gaussian,8d_21n_gaussiandist_2038960906759151272seed_0,75.36867627,82.33740115,0.9153637985,"[0.19163715 0.40281597 0.19477874 0.40006792 0.18849556 0.39215157
 0.19477874 0.4003682  0.19792034 0.4004566  0.18535397 0.39123494
 0.20734512 0.40452723 0.19477874 0.39267367 0.21048671 0.38746496
 0.20420352 0.3785306  0.20106193 0.37313934 0.19792034 0.37511294
 0.19163715 0.37076157]",[-1  1 -1  1 -1 -1 -1  1 -1  1 -1 -1  1  1 -1 -1  1  1  1  1 -1]
7371034346179524966,8,24,gaussian,8d_24n_gaussiandist_7371034346179524966seed_7,86.02426633,91.73472628,0.9377502917,"[0.19477874 0.40683326 0.19163715 0.40469982 0.18849556 0.40303764
 0.19163715 0.40610069 0.18221237 0.40738523 0.18535397 0.40170534
 0.20106193 0.40505059 0.19792034 0.40431907 0.18849556 0.39998648
 0.18849556 0.4038222  0.18535397 0.40278999 0.17907078 0.39543857
 0.1727876  0.36203128 0.1288053  0.34599545 0.19477874 0.38493563
 0.19163715 0.38785722]",[-1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1]
7894132605168536941,8,25,gaussian,8d_25n_gaussiandist_7894132605168536941seed_0,76.24204063,80.37927983,0.9485285361,"[0.19477874 0.37551011 0.19477874 0.37333917 0.19477874 0.37283272
 0.20106193 0.37018576 0.19792034 0.36752242 0.19477874 0.36725031
 0.19477874 0.36779123 0.19477874 0.36818392 0.18221237 0.35449888
 0.18221237 0.3545722  0.18221237 0.34980932 0.18535397 0.35269211
 0.18535397 0.35201149 0.16650441 0.33788336 0.18221237 0.34882764
 0.18849556 0.38038162 0.13823008 0.35977156]","[-1 -1 -1  1 -1  1  1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1  1  1  1 -1 -1  1
  1]"
