,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
1,4d_23n_bimodaldist_4191871221174143187seed_4,60.0,0.8823529411764706,68.0,0.0
2,4d_23n_bimodaldist_2538931857123272327seed_6,52.0,0.8666666666666667,60.0,0.0
3,4d_25n_bimodaldist_7964651612419841573seed_13,64.0,0.8888888888888888,72.0,0.0
4,4d_30n_bimodaldist_1841981875547751952seed_4,76.0,0.9047619047619048,84.0,0.0
5,5d_16n_bimodaldist_4577287522392836180seed_4,44.0,0.9166666666666666,48.0,0.0
6,5d_18n_bimodaldist_2230886858528126964seed_2,50.0,0.925925925925926,54.0,0.0
7,5d_20n_bimodaldist_981011078962833828seed_16,48.0,0.9230769230769232,52.0,0.0
8,5d_22n_bimodaldist_3500995821591368981seed_24,62.0,0.8857142857142857,70.0,0.0
9,6d_19n_bimodaldist_417096244730883644seed_3,50.0,0.8620689655172413,58.0,0.0
10,6d_19n_bimodaldist_1784663752801374766seed_12,50.0,0.8620689655172413,58.0,0.0
11,6d_19n_bimodaldist_2648680152944574979seed_15,58.0,0.8787878787878788,66.0,0.0
12,6d_20n_bimodaldist_4203085245124759615seed_21,60.0,0.8823529411764706,68.0,0.0
13,6d_22n_bimodaldist_6668777687774168474seed_22,68.0,0.8947368421052632,76.0,0.0
14,6d_23n_bimodaldist_4413923178184023544seed_4,70.0,0.8974358974358975,78.0,0.0
15,6d_23n_bimodaldist_4681985199847739548seed_15,70.0,0.8974358974358975,78.0,0.0
16,6d_24n_bimodaldist_2925597325130385078seed_13,60.0,0.8823529411764706,68.0,0.0
17,6d_25n_bimodaldist_3961153518517405069seed_3,74.0,0.902439024390244,82.0,0.0
18,6d_25n_bimodaldist_7946988223762030283seed_23,82.0,0.9111111111111112,90.0,0.0
19,6d_27n_bimodaldist_3471318070396236478seed_13,86.0,0.9148936170212766,94.0,0.0
20,6d_27n_bimodaldist_5786957971017051105seed_15,86.0,0.9148936170212766,94.0,0.0
21,6d_27n_bimodaldist_4747457784211235046seed_16,78.0,0.8297872340425532,94.0,0.0
22,6d_27n_bimodaldist_2674578089008301613seed_17,86.0,0.9148936170212766,94.0,0.0
23,6d_28n_bimodaldist_3848564542923128500seed_1,88.0,0.9166666666666666,96.0,0.0
24,6d_28n_bimodaldist_2651218070241560028seed_12,80.0,0.9090909090909092,88.0,0.0
25,6d_28n_bimodaldist_8447650678545255303seed_20,88.0,0.9166666666666666,96.0,0.0
26,6d_28n_bimodaldist_2189759388924870360seed_23,88.0,0.9166666666666666,96.0,0.0
27,6d_29n_bimodaldist_6985491077355128145seed_2,94.0,0.9215686274509804,102.0,0.0
28,6d_29n_bimodaldist_1859237610696095821seed_3,86.0,0.9148936170212766,94.0,0.0
29,6d_29n_bimodaldist_2360371841136800031seed_4,86.0,0.9148936170212766,94.0,0.0
30,6d_29n_bimodaldist_4663888460965465641seed_9,86.0,0.9148936170212766,94.0,0.0
31,6d_29n_bimodaldist_3042451570429922730seed_18,94.0,0.9215686274509804,102.0,0.0
32,6d_30n_bimodaldist_6970353324674041400seed_5,96.0,0.9230769230769232,104.0,0.0
33,6d_30n_bimodaldist_1365996949158317799seed_7,88.0,0.9166666666666666,96.0,0.0
34,6d_30n_bimodaldist_7081038333954355292seed_21,88.0,0.9166666666666666,96.0,0.0
35,7d_14n_bimodaldist_1086365658899163607seed_7,46.0,0.92,50.0,0.0
36,7d_16n_bimodaldist_680617169823468287seed_7,52.0,0.9285714285714286,56.0,0.0
37,7d_18n_bimodaldist_7959802691053741147seed_0,54.0,0.8709677419354839,62.0,0.0
38,7d_18n_bimodaldist_7350001059199002960seed_11,58.0,0.935483870967742,62.0,0.0
39,7d_20n_bimodaldist_5788465553758715002seed_5,64.0,0.9411764705882352,68.0,0.0
40,7d_20n_bimodaldist_5802523286129892831seed_7,64.0,0.9411764705882352,68.0,0.0
41,7d_20n_bimodaldist_2710191715491200793seed_10,64.0,0.9411764705882352,68.0,0.0
42,7d_20n_bimodaldist_2312532964605339276seed_18,60.0,0.9375,64.0,0.0
43,7d_22n_bimodaldist_1810036372712568055seed_3,70.0,0.945945945945946,74.0,0.0
44,7d_22n_bimodaldist_959665899873676697seed_17,70.0,0.945945945945946,74.0,0.0
45,7d_22n_bimodaldist_3917556824294679076seed_18,70.0,0.8536585365853658,82.0,0.0
46,7d_24n_bimodaldist_7910327935918853742seed_3,80.0,0.9090909090909092,88.0,0.0
47,7d_26n_bimodaldist_3875527857485364175seed_18,82.0,0.8723404255319149,94.0,0.0
48,7d_28n_bimodaldist_5434373299817393002seed_14,96.0,0.8888888888888888,108.0,0.0
49,7d_30n_bimodaldist_3000327789004036666seed_17,102.0,0.9272727272727272,110.0,0.0
50,7d_30n_bimodaldist_6142067774987402282seed_24,102.0,0.9272727272727272,110.0,0.0
51,8d_14n_bimodaldist_6121619833208740511seed_17,40.0,0.7142857142857143,56.0,0.0
52,8d_16n_bimodaldist_3063741526596240161seed_2,52.0,0.8666666666666667,60.0,0.0
53,8d_16n_bimodaldist_4782804454305851121seed_13,52.0,0.8666666666666667,60.0,0.0
54,8d_16n_bimodaldist_8561695926242541130seed_23,52.0,0.8666666666666667,60.0,0.0
55,8d_19n_bimodaldist_3396999625997538594seed_0,68.0,0.8947368421052632,76.0,0.0
56,8d_19n_bimodaldist_3642588848864972314seed_10,60.0,0.8823529411764706,68.0,0.0
57,8d_19n_bimodaldist_193195712871082820seed_14,68.0,0.8947368421052632,76.0,0.0
58,8d_20n_bimodaldist_4252303837197157994seed_1,64.0,0.8888888888888888,72.0,0.0
59,8d_20n_bimodaldist_7766321239122150242seed_18,72.0,0.9,80.0,0.0
60,8d_20n_bimodaldist_1924968977696664901seed_23,72.0,0.9,80.0,0.0
61,8d_21n_bimodaldist_5202941992117340676seed_18,80.0,0.9090909090909092,88.0,0.0
