,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
0,cage-k7.g5.dr,202.0,1.0,202.0,0.0
1,cage-k7.g6.dr,350.0,0.9776536312849162,358.0,0.0
2,cage-k3.g11.dr,276.0,1.0,276.0,0.0
3,cage-k3.g12.dr,306.0,0.9870967741935484,310.0,0.0
4,cage-k3.g6.dr,30.0,1.0,30.0,0.0
5,cage-k3.g9-14.dr,142.0,1.0,142.0,0.0
6,cage-k3.g9-05.dr,142.0,1.0,142.0,0.0
7,cage-k5.g5-00.dr,90.0,1.0,90.0,0.0
8,cage-k4.g5.dr,52.0,1.0,52.0,0.0
9,cage-k5.g5-01.dr,86.0,1.0,86.0,0.0
10,cage-k3.g9-16.dr,146.0,1.0,146.0,0.0
11,cage-k3.g9-09.dr,142.0,1.0,142.0,0.0
12,cage-k3.g9-02.dr,142.0,1.0,142.0,0.0
13,cage-k3.g9-12.dr,142.0,1.0,142.0,0.0
14,cage-k3.g9-06.dr,146.0,1.0,146.0,0.0
15,cage-k3.g9-11.dr,142.0,1.0,142.0,0.0
16,cage-k3.g10-01.dr,174.0,1.0,174.0,0.0
17,cage-k3.g8.dr,70.0,1.0,70.0,0.0
18,cage-k3.g9-00.dr,146.0,1.0,146.0,0.0
19,cage-k3.g9-15.dr,146.0,1.0,146.0,0.0
20,cage-k3.g9-10.dr,142.0,1.0,142.0,0.0
21,cage-k5.g5-02.dr,94.0,1.0,94.0,0.0
22,cage-k6.g5.dr,144.0,1.0,144.0,0.0
23,cage-k5.g6.dr,130.0,1.0,130.0,0.0
24,cage-k3.g9-01.dr,150.0,1.0,150.0,0.0
25,cage-k5.g5-03.dr,94.0,1.0,94.0,0.0
26,cage-k3.g9-03.dr,142.0,1.0,142.0,0.0
27,cage-k4.g7-00.dr,192.0,1.0,192.0,0.0
28,cage-k4.g6.dr,72.0,1.0,72.0,0.0
29,cage-k3.g9-13.dr,142.0,1.0,142.0,0.0
30,cage-k4.g8.dr,236.0,1.0,236.0,0.0
31,cage-k3.g10-02.dr,170.0,1.0,170.0,0.0
32,cage-k3.g9-04.dr,142.0,1.0,142.0,0.0
33,cage-k6.g6.dr,224.0,1.0,224.0,0.0
34,cage-k3.g7.dr,60.0,1.0,60.0,0.0
35,cage-k3.g9-07.dr,142.0,1.0,142.0,0.0
36,cage-k3.g10-00.dr,174.0,1.0,174.0,0.0
37,cage-k3.g9-17.dr,142.0,1.0,142.0,0.0
38,cage-k3.g9-08.dr,142.0,1.0,142.0,0.0
